dataset,model,method,k,seed,num_nodes,num_edges_original,num_edges_anonymized,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score,method_error
pubmed,graphsage,1HiKDA,10,42,19717,44324,45141,0.761,0.7602525478701027,0.761,0.0,-0.00018420257856543998,0.0,1.0,1.0002423500198456,1.0,1.0000807833399485,
pubmed,graphsage,original,10,123,19717,44324,44324,0.751,0.7515385895679961,0.751,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,graphsage,Ange_Original,10,123,19717,44324,44468,0.75,0.7469084931269805,0.75,0.0010000000000000009,0.004630096441015641,0.0010000000000000009,0.9986684420772304,0.9938391767165581,0.9986684420772304,0.9970586869570063,
pubmed,graphsage,Ange_Modifie_NCC,10,123,19717,44324,156820,0.763,0.7545316342499441,0.763,-0.01200000000000001,-0.002993044681947943,-0.01200000000000001,1.0159786950732357,1.0039825562166653,1.0159786950732357,1.0119799821210458,
pubmed,graphsage,Zhou_Pei,10,123,19717,44324,191335,0.732,0.7354759365036087,0.732,0.019000000000000017,0.016062653064387478,0.019000000000000017,0.9747003994673769,0.978626974998555,0.9747003994673769,0.9760092579777696,
pubmed,graphsage,1HiKDA,10,123,19717,44324,45139,0.748,0.7476514470351073,0.748,0.0030000000000000027,0.0038871425328887987,0.0030000000000000027,0.996005326231691,0.9948277539079886,0.996005326231691,0.9956128021237903,
pubmed,graphsage,original,10,2024,19717,44324,44324,0.748,0.7471661927414709,0.748,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,graphsage,Ange_Original,10,2024,19717,44324,44468,0.748,0.7436184698693217,0.748,0.0,0.003547722872149217,0.0,1.0,0.9952517620489063,1.0,0.9984172540163021,
pubmed,graphsage,Ange_Modifie_NCC,10,2024,19717,44324,156820,0.759,0.7495512564818508,0.759,-0.01100000000000001,-0.0023850637403799446,-0.01100000000000001,1.0147058823529411,1.0031921462233573,1.0147058823529411,1.0108679703097465,
pubmed,graphsage,Zhou_Pei,10,2024,19717,44324,191335,0.74,0.7425841697078656,0.74,0.008000000000000007,0.004582023033605331,0.008000000000000007,0.9893048128342246,0.9938674647245572,0.9893048128342246,0.9908256967976689,
pubmed,graphsage,1HiKDA,10,2024,19717,44324,45108,0.744,0.7436694362784483,0.744,0.0040000000000000036,0.00349675646302261,0.0040000000000000036,0.9946524064171123,0.9953199749975404,0.9946524064171123,0.994874929277255,
pubmed,graphsage,original,50,42,19717,44324,44324,0.761,0.7600683452915372,0.761,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,graphsage,Ange_Original,50,42,19717,44324,44437,0.766,0.764058038615479,0.766,-0.0050000000000000044,-0.003989693323941834,-0.0050000000000000044,1.0065703022339028,1.0052491244355288,1.0065703022339028,1.0061299096344447,
pubmed,graphsage,Ange_Modifie_NCC,50,42,19717,44324,153675,0.749,0.746171045102448,0.749,0.01200000000000001,0.01389730018908919,0.01200000000000001,0.9842312746386334,0.9817157229673095,0.9842312746386334,0.9833927574148588,
pubmed,graphsage,Zhou_Pei,50,42,19717,44324,179703,0.721,0.7184699549470482,0.721,0.040000000000000036,0.04159839034448898,0.040000000000000036,0.9474375821287779,0.9452701976050151,0.9474375821287779,0.9467151206208569,
pubmed,graphsage,1HiKDA,50,42,19717,44324,45139,0.76,0.7581512160630873,0.76,0.0010000000000000009,0.0019171292284498875,0.0010000000000000009,0.9986859395532195,0.997477688367992,0.9986859395532195,0.9982831891581437,
pubmed,graphsage,original,50,123,19717,44324,44324,0.751,0.7515385895679961,0.751,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,graphsage,Ange_Original,50,123,19717,44324,44438,0.766,0.7639603025137852,0.766,-0.015000000000000013,-0.012421712945789087,-0.015000000000000013,1.0199733688415447,1.016528376743674,1.0199733688415447,1.0188250381422546,
pubmed,graphsage,Ange_Modifie_NCC,50,123,19717,44324,153675,0.754,0.7504732015365999,0.754,-0.0030000000000000027,0.0010653880313962194,-0.0030000000000000027,1.003994673768309,0.9985823907831418,1.003994673768309,1.00219057943992,
pubmed,graphsage,Zhou_Pei,50,123,19717,44324,179703,0.732,0.7334152407460026,0.732,0.019000000000000017,0.018123348821993512,0.019000000000000017,0.9747003994673769,0.9758850056756084,0.9747003994673769,0.975095268203454,
pubmed,graphsage,1HiKDA,50,123,19717,44324,45105,0.742,0.7407620021068819,0.742,0.009000000000000008,0.010776587461114207,0.009000000000000008,0.9880159786950732,0.985660633251968,0.9880159786950732,0.9872308635473716,
pubmed,graphsage,original,50,2024,19717,44324,44324,0.748,0.7471661927414709,0.748,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,graphsage,Ange_Original,50,2024,19717,44324,44435,0.757,0.7546159285494106,0.757,-0.009000000000000008,-0.007449735807939728,-0.009000000000000008,1.0120320855614973,1.0099706542939335,1.0120320855614973,1.0113449418056426,
pubmed,graphsage,Ange_Modifie_NCC,50,2024,19717,44324,153675,0.745,0.7403753971650927,0.745,0.0030000000000000027,0.0067907955763781835,0.0030000000000000027,0.9959893048128342,0.9909112649336265,0.9959893048128342,0.9942966248530983,
pubmed,graphsage,Zhou_Pei,50,2024,19717,44324,179703,0.702,0.6997435334718443,0.702,0.04600000000000004,0.04742265926962663,0.04600000000000004,0.9385026737967914,0.9365299718719534,0.9385026737967914,0.937845106488512,
pubmed,graphsage,1HiKDA,50,2024,19717,44324,45141,0.737,0.7390575121090907,0.737,0.01100000000000001,0.008108680632380239,0.01100000000000001,0.9852941176470588,0.9891474203314417,0.9852941176470588,0.9865785518751865,
